Set,Run #1,Run #1,Run #1,Run #1
angle (deg),Date and Time,Time (s),Light Intensity (% of scale max),Relative Intensity
,11/06/2018 04:03:40 pm,593.950,0.1,0.11
,11/06/2018 04:03:41 pm,594.000,0.1,0.11
,11/06/2018 04:03:41 pm,594.050,0.1,0.11
,11/06/2018 04:03:41 pm,594.100,0.1,0.11
,11/06/2018 04:03:41 pm,594.150,0.1,0.10
,11/06/2018 04:03:41 pm,594.200,0.1,0.11
,11/06/2018 04:03:41 pm,594.250,0.1,0.10
,11/06/2018 04:03:41 pm,594.300,0.1,0.11
,11/06/2018 04:03:41 pm,594.350,0.1,0.11
,11/06/2018 04:03:41 pm,594.400,0.1,0.10
,11/06/2018 04:03:41 pm,594.450,0.1,0.11
,11/06/2018 04:03:41 pm,594.500,0.1,0.11
,11/06/2018 04:03:41 pm,594.550,0.1,0.10
,11/06/2018 04:03:41 pm,594.600,0.1,0.11
,11/06/2018 04:03:41 pm,594.650,0.1,0.10
,11/06/2018 04:03:41 pm,594.700,0.1,0.11
,11/06/2018 04:03:41 pm,594.750,0.1,0.11
,11/06/2018 04:03:41 pm,594.800,0.1,0.11
,11/06/2018 04:03:41 pm,594.850,0.1,0.11
,11/06/2018 04:03:41 pm,594.900,0.1,0.11
,11/06/2018 04:03:41 pm,594.950,0.1,0.11
,11/06/2018 04:03:42 pm,595.000,0.1,0.11
,11/06/2018 04:03:42 pm,595.050,0.1,0.11
,11/06/2018 04:03:42 pm,595.100,0.1,0.11
,11/06/2018 04:03:42 pm,595.150,0.1,0.11
,11/06/2018 04:03:42 pm,595.200,0.1,0.11
,11/06/2018 04:03:42 pm,595.250,0.1,0.11
,11/06/2018 04:03:42 pm,595.300,0.1,0.11
,11/06/2018 04:03:42 pm,595.350,0.1,0.11
,11/06/2018 04:03:42 pm,595.400,0.1,0.11
,11/06/2018 04:03:42 pm,595.450,0.1,0.11
,11/06/2018 04:03:42 pm,595.500,0.1,0.11
,11/06/2018 04:03:42 pm,595.550,0.1,0.11
,11/06/2018 04:03:42 pm,595.600,0.1,0.11
,11/06/2018 04:03:42 pm,595.650,0.1,0.11
,11/06/2018 04:03:42 pm,595.700,0.1,0.11
,11/06/2018 04:03:42 pm,595.750,0.1,0.10
,11/06/2018 04:03:42 pm,595.800,0.1,0.11
,11/06/2018 04:03:42 pm,595.850,0.1,0.10
,11/06/2018 04:03:42 pm,595.900,0.1,0.11
,11/06/2018 04:03:42 pm,595.950,0.1,0.11
,11/06/2018 04:03:43 pm,596.000,0.1,0.11
,11/06/2018 04:03:43 pm,596.050,0.1,0.11
,11/06/2018 04:03:43 pm,596.100,0.1,0.11
,11/06/2018 04:03:43 pm,596.150,0.1,0.10
,11/06/2018 04:03:43 pm,596.200,0.1,0.11
,11/06/2018 04:03:43 pm,596.250,0.1,0.10
,11/06/2018 04:03:43 pm,596.300,0.1,0.11
,11/06/2018 04:03:43 pm,596.350,0.1,0.11
,11/06/2018 04:03:43 pm,596.400,0.1,0.10
,11/06/2018 04:03:43 pm,596.450,0.1,0.11
,11/06/2018 04:03:43 pm,596.500,0.1,0.11
,11/06/2018 04:03:43 pm,596.550,0.1,0.10
,11/06/2018 04:03:43 pm,596.600,0.1,0.11
,11/06/2018 04:03:43 pm,596.650,0.1,0.10
,11/06/2018 04:03:43 pm,596.700,0.1,0.10
,11/06/2018 04:03:43 pm,596.750,0.1,0.10
,11/06/2018 04:03:43 pm,596.800,0.1,0.10
,11/06/2018 04:03:43 pm,596.850,0.1,0.11
,11/06/2018 04:03:43 pm,596.900,0.1,0.11
,11/06/2018 04:03:43 pm,596.950,0.1,0.11
,11/06/2018 04:03:44 pm,597.000,0.1,0.11
,11/06/2018 04:03:44 pm,597.050,0.1,0.10
,11/06/2018 04:03:44 pm,597.100,0.1,0.10
,11/06/2018 04:03:44 pm,597.150,0.1,0.11
